fecha,gps,longitud,latitud,cuenca,region,codigo_region,codigo_distrito,poblacion,organizacion,permiso,ano_construcion,tipo_extracion,grupo_tipo_extracion,grupo_gestion,pago,calidad_agua,calida_grupo,cantidad,fuente,tipo_PuntoAgua
2001-03-26,1218,38.5,-4.864403500000001 ,Pangani                ,Tanga        ,4,1,1,VWC             ,Y,1995,gravity      ,gravity        ,user-group,never pay            ,soft           ,good   ,enough      ,spring              ,other                      
2004-01-04,1347,38,-4.38300908        ,Pangani                ,Kilimanjaro  ,3,3,447,VWC             ,Y,2008,gravity      ,gravity        ,user-group,never pay            ,soft           ,good   ,insufficient,spring              ,communal standpipe         
2004-01-09,1530,34.7,-8.99137348        ,Rufiji                 ,Iringa       ,11,4,75,WUA             ,Y,1984,gravity      ,gravity        ,user-group,pay monthly          ,soft           ,good   ,enough      ,river               ,communal standpipe         
2004-01-12,0,33.8,-9.56566929        ,Lake Nyasa             ,Mbeya        ,12,3,0,VWC             ,Y,,gravity      ,gravity        ,user-group,never pay            ,soft           ,good   ,dry         ,spring              ,communal standpipe         
2004-02-01,1675,35.3,-8.06148509        ,Rufiji                 ,Iringa       ,11,1,490,VWC             ,Y,1988,swn 80       ,swn 80         ,user-group,never pay            ,soft           ,good   ,enough      ,machine dbh         ,hand pump                  
2004-02-23,1825,35.8,-8.30322671        ,Rufiji                 ,Iringa       ,11,2,0,VWC             ,Y,,swn 80       ,swn 80         ,user-group,pay annually         ,soft           ,good   ,enough      ,hand dtw            ,hand pump                  
2004-05-01,0,32.2,-3.51863732        ,Lake Tanganyika        ,Shinyanga    ,17,5,0,Parastatal      ,Y,,other        ,other          ,parastatal,unknown              ,soft           ,good   ,enough      ,shallow well        ,other                      
2004-06-01,93,39.2,-7.09929304        ,Wami / Ruvu            ,Pwani        ,60,43,898,Private operator,N,2011,other        ,other          ,commercial,never pay            ,soft           ,good   ,enough      ,machine dbh         ,other                      
2004-06-01,1265,34.4,-1.58464195        ,Lake Victoria          ,Mara         ,20,2,60,Other           ,,2006,other - rope ,rope pump      ,commercial,never pay            ,soft           ,good   ,seasonal    ,rainwater harvesting,hand pump                  
2004-09-01,220,38.8,-5.18529301        ,Pangani                ,Tanga        ,4,3,140,VWC             ,N,1971,submersible  ,submersible    ,user-group,pay monthly          ,salty          ,salty  ,insufficient,machine dbh         ,communal standpipe         
2004-12-01,0,32.9,-2.53156494        ,Lake Victoria          ,Mwanza       ,19,8,0,VWC             ,Y,,other        ,other          ,user-group,pay per bucket       ,soft           ,good   ,enough      ,shallow well        ,other                      
2004-12-03,1394,37.7,-3.69291446        ,Pangani                ,Kilimanjaro  ,3,2,50,WUA             ,N,1972,gravity      ,gravity        ,user-group,pay monthly          ,soft           ,good   ,insufficient,spring              ,communal standpipe         
2011-01-03,1638,34.9,-8.95688379        ,Rufiji                 ,Iringa       ,11,4,120,VWC             ,N,2006,gravity      ,gravity        ,user-group,pay monthly          ,soft           ,good   ,enough      ,spring              ,communal standpipe multiple
2011-01-03,1640,34.9,-8.98246585        ,Rufiji                 ,Iringa       ,11,4,250,Water Board     ,N,2009,gravity      ,gravity        ,user-group,pay when scheme fails,soft           ,good   ,enough      ,spring              ,communal standpipe         
2011-01-03,1654,34.9,-8.96315495        ,Rufiji                 ,Iringa       ,11,4,120,VWC             ,N,2006,gravity      ,gravity        ,user-group,pay monthly          ,soft           ,good   ,enough      ,spring              ,communal standpipe         
2011-01-03,1612,34.9,-8.95120704        ,Rufiji                 ,Iringa       ,11,4,40,VWC             ,N,2006,gravity      ,gravity        ,user-group,pay monthly          ,soft           ,good   ,enough      ,spring              ,communal standpipe         
2011-01-03,1644,34.9,-8.96075658        ,Rufiji                 ,Iringa       ,11,4,80,VWC             ,N,2006,gravity      ,gravity        ,user-group,pay monthly          ,soft           ,good   ,enough      ,spring              ,communal standpipe         
2011-01-04,1596,34.5,-9.00283438        ,Rufiji                 ,Iringa       ,11,4,85,WUA             ,Y,1978,gravity      ,gravity        ,user-group,pay monthly          ,soft           ,good   ,seasonal    ,river               ,communal standpipe         
2011-01-04,1619,34.5,-9.01339472        ,Rufiji                 ,Iringa       ,11,4,350,WUA             ,Y,1978,gravity      ,gravity        ,user-group,pay monthly          ,soft           ,good   ,dry         ,river               ,communal standpipe         
2011-01-04,1496,34.6,-8.97290326        ,Rufiji                 ,Iringa       ,11,4,96,WUA             ,Y,1978,gravity      ,gravity        ,user-group,pay when scheme fails,soft           ,good   ,enough      ,river               ,communal standpipe         
2011-01-04,1414,34.6,-8.9250144         ,Rufiji                 ,Iringa       ,11,4,52,WUA             ,Y,1978,gravity      ,gravity        ,user-group,pay when scheme fails,soft           ,good   ,dry         ,river               ,communal standpipe         
2011-01-04,1425,34.6,-8.93442687        ,Rufiji                 ,Iringa       ,11,4,350,WUA             ,Y,1978,gravity      ,gravity        ,user-group,pay when scheme fails,soft           ,good   ,dry         ,river               ,communal standpipe         
2011-01-04,1468,34.6,-8.94208073        ,Rufiji                 ,Iringa       ,11,4,360,WUA             ,Y,1978,gravity      ,gravity        ,user-group,pay when scheme fails,soft           ,good   ,enough      ,river               ,communal standpipe         
2011-01-04,1563,34.5,-8.99290125        ,Rufiji                 ,Iringa       ,11,4,50,WUA             ,Y,2006,swn 80       ,swn 80         ,user-group,pay monthly          ,soft           ,good   ,enough      ,hand dtw            ,hand pump                  
2011-01-04,1440,34.6,-8.93562437        ,Rufiji                 ,Iringa       ,11,4,20,WUA             ,Y,1978,gravity      ,gravity        ,user-group,pay when scheme fails,soft           ,good   ,dry         ,river               ,communal standpipe         
2011-01-04,1392,34.6,-8.90495383        ,Rufiji                 ,Iringa       ,11,4,52,WUA             ,Y,1978,gravity      ,gravity        ,user-group,pay when scheme fails,soft           ,good   ,enough      ,river               ,communal standpipe         
2011-01-04,1491,34.6,-8.959569300000002 ,Rufiji                 ,Iringa       ,11,4,250,WUA             ,Y,1978,gravity      ,gravity        ,user-group,pay when scheme fails,soft           ,good   ,dry         ,river               ,communal standpipe         
2011-01-08,0,34,-9.43874486        ,Lake Nyasa             ,Mbeya        ,12,3,0,VWC             ,Y,,gravity      ,gravity        ,user-group,never pay            ,soft           ,good   ,dry         ,spring              ,communal standpipe         
2011-01-08,0,34,-9.415246699999999 ,Lake Nyasa             ,Mbeya        ,12,3,0,VWC             ,Y,,gravity      ,gravity        ,user-group,never pay            ,soft           ,good   ,dry         ,spring              ,communal standpipe         
2011-01-08,0,34,-9.49251203        ,Lake Nyasa             ,Mbeya        ,12,3,0,VWC             ,Y,,gravity      ,gravity        ,user-group,pay monthly          ,soft           ,good   ,enough      ,spring              ,communal standpipe         
2011-01-08,0,34,-9.41649649        ,Lake Nyasa             ,Mbeya        ,12,3,0,VWC             ,Y,,gravity      ,gravity        ,user-group,never pay            ,soft           ,good   ,enough      ,spring              ,communal standpipe         
2011-01-08,0,34,-9.49174669        ,Lake Nyasa             ,Mbeya        ,12,3,0,VWC             ,Y,,gravity      ,gravity        ,user-group,pay monthly          ,soft           ,good   ,enough      ,spring              ,communal standpipe         
2011-01-08,0,34,-9.48955723        ,Lake Nyasa             ,Mbeya        ,12,3,0,VWC             ,Y,,gravity      ,gravity        ,user-group,pay monthly          ,soft           ,good   ,enough      ,spring              ,communal standpipe         
2011-01-08,0,34,-9.49089345        ,Lake Nyasa             ,Mbeya        ,12,3,0,VWC             ,Y,,gravity      ,gravity        ,user-group,pay monthly          ,soft           ,good   ,enough      ,spring              ,communal standpipe         
2011-01-08,0,33.9,-9.42129391        ,Lake Nyasa             ,Mbeya        ,12,3,0,VWC             ,Y,,gravity      ,gravity        ,user-group,never pay            ,soft           ,good   ,enough      ,spring              ,communal standpipe         
2011-01-08,0,34,-9.40984589        ,Lake Nyasa             ,Mbeya        ,12,3,0,VWC             ,Y,,gravity      ,gravity        ,user-group,never pay            ,soft           ,good   ,enough      ,spring              ,communal standpipe         
2011-01-08,0,34,-9.48468709        ,Lake Nyasa             ,Mbeya        ,12,3,0,VWC             ,Y,,gravity      ,gravity        ,user-group,pay monthly          ,soft           ,good   ,enough      ,spring              ,communal standpipe         
2011-01-08,0,34,-9.41451742        ,Lake Nyasa             ,Mbeya        ,12,3,0,VWC             ,Y,,gravity      ,gravity        ,user-group,never pay            ,soft           ,good   ,enough      ,spring              ,communal standpipe         
2011-01-08,0,34,-9.46275862        ,Lake Nyasa             ,Mbeya        ,12,3,0,VWC             ,Y,,gravity      ,gravity        ,user-group,never pay            ,soft           ,good   ,enough      ,spring              ,communal standpipe         
2011-01-08,0,34,-9.428738000000001 ,Lake Nyasa             ,Mbeya        ,12,3,0,VWC             ,Y,,gravity      ,gravity        ,user-group,never pay            ,soft           ,good   ,dry         ,spring              ,communal standpipe         
2011-01-08,0,34,-9.42056319        ,Lake Nyasa             ,Mbeya        ,12,3,0,VWC             ,Y,,gravity      ,gravity        ,user-group,never pay            ,soft           ,good   ,enough      ,spring              ,communal standpipe multiple
2011-01-08,0,33.9,-9.42222873        ,Lake Nyasa             ,Mbeya        ,12,3,0,VWC             ,Y,,gravity      ,gravity        ,user-group,never pay            ,soft           ,good   ,enough      ,spring              ,communal standpipe         
2011-01-08,0,34,-9.42627039        ,Lake Nyasa             ,Mbeya        ,12,3,0,VWC             ,Y,,gravity      ,gravity        ,user-group,never pay            ,soft           ,good   ,enough      ,spring              ,communal standpipe         
2011-02-01,437,37.1,-6.69816485        ,Wami / Ruvu            ,Morogoro     ,5,1,90,VWC             ,Y,1976,other        ,other          ,user-group,never pay            ,soft           ,good   ,insufficient,shallow well        ,other                      
2011-02-01,428,37.1,-6.69501203        ,Wami / Ruvu            ,Morogoro     ,5,1,258,WUG             ,Y,2010,submersible  ,submersible    ,user-group,pay per bucket       ,salty          ,salty  ,insufficient,shallow well        ,communal standpipe         
2011-02-01,444,37.1,-6.69115046        ,Wami / Ruvu            ,Morogoro     ,5,1,140,WUG             ,Y,1976,swn 80       ,swn 80         ,user-group,never pay            ,soft           ,good   ,enough      ,shallow well        ,hand pump                  
