fecha,gps,longitud,latitud,cuenca,region,codigo_region,codigo_distrito,poblacion,organizacion,permiso,ano_construcion,tipo_extracion,grupo_tipo_extracion,grupo_gestion,pago,calidad_agua,calida_grupo,cantidad,fuente,tipo_PuntoAgua
2001-03-26,1218,38.5,-4.864404,'Pangani                ','Tanga        ',4,1,1,'VWC             ',Y,1995,'gravity      ','gravity        ',user-group,'never pay            ','soft           ','good   ','enough      ','spring              ','other                      '
2004-01-04,1347,38,-4.383009,'Pangani                ','Kilimanjaro  ',3,3,447,'VWC             ',Y,2008,'gravity      ','gravity        ',user-group,'never pay            ','soft           ','good   ',insufficient,'spring              ','communal standpipe         '
2004-01-09,1530,34.7,-8.991373,'Rufiji                 ','Iringa       ',11,4,75,'WUA             ',Y,1984,'gravity      ','gravity        ',user-group,'pay monthly          ','soft           ','good   ','enough      ','river               ','communal standpipe         '
2004-01-12,0,33.8,-9.565669,'Lake Nyasa             ','Mbeya        ',12,3,0,'VWC             ',Y,1997.097914,'gravity      ','gravity        ',user-group,'never pay            ','soft           ','good   ','dry         ','spring              ','communal standpipe         '
2004-02-01,1675,35.3,-8.061485,'Rufiji                 ','Iringa       ',11,1,490,'VWC             ',Y,1988,'swn 80       ','swn 80         ',user-group,'never pay            ','soft           ','good   ','enough      ','machine dbh         ','hand pump                  '
2004-02-23,1825,35.8,-8.303227,'Rufiji                 ','Iringa       ',11,2,0,'VWC             ',Y,1997.097914,'swn 80       ','swn 80         ',user-group,'pay annually         ','soft           ','good   ','enough      ','hand dtw            ','hand pump                  '
2004-05-01,0,32.2,-3.518637,'Lake Tanganyika        ','Shinyanga    ',17,5,0,'Parastatal      ',Y,1997.097914,'other        ','other          ',parastatal,'unknown              ','soft           ','good   ','enough      ','shallow well        ','other                      '
2004-06-01,1265,34.4,-1.584642,'Lake Victoria          ','Mara         ',20,2,60,'Other           ',Y,2006,'other - rope ','rope pump      ',commercial,'never pay            ','soft           ','good   ','seasonal    ','rainwater harvesting','hand pump                  '
2004-12-01,0,32.9,-2.531565,'Lake Victoria          ','Mwanza       ',19,8,0,'VWC             ',Y,1997.097914,'other        ','other          ',user-group,'pay per bucket       ','soft           ','good   ','enough      ','shallow well        ','other                      '
2004-12-03,1394,37.7,-3.692914,'Pangani                ','Kilimanjaro  ',3,2,50,'WUA             ',N,1972,'gravity      ','gravity        ',user-group,'pay monthly          ','soft           ','good   ',insufficient,'spring              ','communal standpipe         '
2011-01-03,1638,34.9,-8.956884,'Rufiji                 ','Iringa       ',11,4,120,'VWC             ',N,2006,'gravity      ','gravity        ',user-group,'pay monthly          ','soft           ','good   ','enough      ','spring              ','communal standpipe multiple'
2011-01-03,1640,34.9,-8.982466,'Rufiji                 ','Iringa       ',11,4,250,'Water Board     ',N,2009,'gravity      ','gravity        ',user-group,'pay when scheme fails','soft           ','good   ','enough      ','spring              ','communal standpipe         '
2011-01-03,1654,34.9,-8.963155,'Rufiji                 ','Iringa       ',11,4,120,'VWC             ',N,2006,'gravity      ','gravity        ',user-group,'pay monthly          ','soft           ','good   ','enough      ','spring              ','communal standpipe         '
2011-01-03,1612,34.9,-8.951207,'Rufiji                 ','Iringa       ',11,4,40,'VWC             ',N,2006,'gravity      ','gravity        ',user-group,'pay monthly          ','soft           ','good   ','enough      ','spring              ','communal standpipe         '
2011-01-03,1644,34.9,-8.960757,'Rufiji                 ','Iringa       ',11,4,80,'VWC             ',N,2006,'gravity      ','gravity        ',user-group,'pay monthly          ','soft           ','good   ','enough      ','spring              ','communal standpipe         '
2011-01-04,1596,34.5,-9.002834,'Rufiji                 ','Iringa       ',11,4,85,'WUA             ',Y,1978,'gravity      ','gravity        ',user-group,'pay monthly          ','soft           ','good   ','seasonal    ','river               ','communal standpipe         '
